Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/34-openroad-cts/PE.odb'…
Reading design constraints file at '/nix/store/9hhfv2x4r4x6v55799pa58jc2yni6awy-python3.11-openlane-2.3.10/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 1
[INFO] Setting input delay to: 1
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 32 endpoints with setup violations.
[INFO RSZ-0099] Repairing 32 out of 32 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
      522 |       0 |     117 |      177 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      530 |       0 |     122 |      179 |      0 |    26 |   -1.618 |      -27.5 |     32 | _1431_/D
      540 |       0 |     127 |      190 |      0 |    26 |   -1.754 |      -29.1 |     32 | _1431_/D
      550 |       0 |     136 |      194 |      0 |    26 |   -1.766 |      -29.1 |     32 | _1427_/D
      560 |       0 |     142 |      202 |      0 |    27 |   -1.705 |      -28.4 |     32 | _1427_/D
      566 |       0 |     125 |      188 |      0 |    25 |   -1.556 |      -27.0 |     32 | _1427_/D
      570 |       0 |     127 |      188 |      0 |    26 |   -1.556 |      -24.9 |     32 | _1427_/D
      580 |       0 |     135 |      188 |      0 |    28 |   -1.556 |      -24.6 |     32 | _1427_/D
      590 |       0 |     140 |      193 |      0 |    32 |   -1.556 |      -23.1 |     32 | _1427_/D
      600 |       0 |     145 |      200 |      1 |    34 |   -1.556 |      -21.5 |     32 | _1427_/D
      608 |       0 |     150 |      200 |      2 |    36 |   -1.556 |      -21.4 |     32 | _1427_/D
      610 |       0 |     151 |      200 |      2 |    36 |   -1.556 |      -21.4 |     32 | _1427_/D
      618 |       0 |     152 |      213 |      2 |    37 |   -1.556 |      -21.9 |     32 | _1427_/D
      620 |       0 |     152 |      213 |      2 |    38 |   -1.556 |      -21.9 |     32 | _1427_/D
      620 |       0 |     152 |      213 |      2 |    38 |   -1.556 |      -21.9 |     32 | _1427_/D
      630 |       0 |     154 |      223 |      2 |    40 |   -1.556 |      -22.0 |     32 | _1427_/D
      631 |       0 |     154 |      219 |      2 |    40 |   -1.556 |      -22.0 |     32 | _1427_/D
      640 |       0 |     155 |      231 |      2 |    41 |   -1.556 |      -22.2 |     32 | _1427_/D
      640 |       0 |     154 |      225 |      2 |    40 |   -1.556 |      -22.0 |     32 | _1427_/D
      648 |       0 |     154 |      231 |      2 |    41 |   -1.556 |      -21.9 |     32 | _1427_/D
      650 |       0 |     155 |      231 |      2 |    41 |   -1.556 |      -21.7 |     32 | _1427_/D
      660 |       0 |     156 |      247 |      2 |    42 |   -1.556 |      -22.3 |     32 | _1427_/D
      663 |       0 |     158 |      247 |      2 |    43 |   -1.556 |      -22.3 |     32 | _1427_/D
      665 |       0 |     159 |      247 |      2 |    43 |   -1.556 |      -22.3 |     32 | _1427_/D
      670 |       0 |     162 |      249 |      2 |    43 |   -1.556 |      -22.0 |     32 | _1427_/D
      675 |       0 |     163 |      249 |      2 |    47 |   -1.556 |      -22.1 |     32 | _1427_/D
      680 |       0 |     165 |      249 |      2 |    49 |   -1.556 |      -21.9 |     32 | _1427_/D
      683 |       0 |     167 |      249 |      2 |    50 |   -1.556 |      -21.7 |     32 | _1427_/D
      685 |       0 |     168 |      249 |      2 |    50 |   -1.556 |      -22.0 |     32 | _1427_/D
      687 |       0 |     168 |      249 |      2 |    50 |   -1.556 |      -22.0 |     32 | _1427_/D
      690 |       0 |     170 |      249 |      2 |    50 |   -1.556 |      -22.0 |     32 | _1427_/D
      700 |       0 |     177 |      249 |      2 |    53 |   -1.556 |      -21.7 |     32 | _1427_/D
      710 |       0 |     184 |      251 |      2 |    55 |   -1.556 |      -21.6 |     32 | _1427_/D
      720 |       0 |     191 |      258 |      2 |    55 |   -1.556 |      -21.6 |     32 | _1427_/D
      730 |       0 |     199 |      258 |      2 |    57 |   -1.560 |      -21.5 |     32 | _1427_/D
      740 |       0 |     205 |      266 |      2 |    58 |   -1.560 |      -21.4 |     32 | _1427_/D
      750 |       0 |     212 |      268 |      3 |    59 |   -1.560 |      -22.5 |     32 | _1427_/D
      760 |       0 |     216 |      272 |      4 |    62 |   -1.560 |      -22.5 |     32 | _1427_/D
      763 |       0 |     194 |      262 |      2 |    55 |   -1.556 |      -21.6 |     32 | _1427_/D
      766 |       0 |     194 |      262 |      2 |    57 |   -1.556 |      -21.5 |     32 | _1427_/D
      770 |       0 |     197 |      262 |      2 |    57 |   -1.556 |      -21.5 |     32 | _1427_/D
      780 |       0 |     205 |      264 |      2 |    58 |   -1.556 |      -21.5 |     32 | _1427_/D
      790 |       0 |     210 |      270 |      2 |    60 |   -1.556 |      -21.3 |     32 | _1427_/D
      800 |       0 |     215 |      281 |      2 |    61 |   -1.556 |      -21.3 |     32 | _1427_/D
      810 |       0 |     218 |      290 |      2 |    64 |   -1.556 |      -22.5 |     32 | _1427_/D
      820 |       0 |     224 |      292 |      2 |    67 |   -1.556 |      -22.2 |     32 | _1427_/D
      830 |       0 |     233 |      292 |      3 |    67 |   -1.556 |      -22.2 |     32 | _1427_/D
      832 |       0 |     218 |      279 |      2 |    60 |   -1.556 |      -21.3 |     31 | _1427_/D
      835 |       0 |     218 |      279 |      2 |    62 |   -1.556 |      -21.2 |     31 | _1427_/D
      839 |       0 |     219 |      279 |      2 |    64 |   -1.556 |      -21.2 |     31 | _1427_/D
      840 |       0 |     219 |      279 |      2 |    64 |   -1.556 |      -21.2 |     31 | _1427_/D
      841 |       0 |     219 |      279 |      2 |    65 |   -1.556 |      -21.2 |     31 | _1427_/D
      845 |       0 |     221 |      279 |      2 |    66 |   -1.556 |      -21.3 |     31 | _1427_/D
      847 |       0 |     221 |      279 |      2 |    67 |   -1.556 |      -21.2 |     31 | _1427_/D
      848 |       0 |     221 |      279 |      2 |    67 |   -1.556 |      -21.2 |     30 | _1427_/D
      850 |       0 |     221 |      279 |      2 |    68 |   -1.556 |      -21.2 |     30 | _1427_/D
      851 |       0 |     222 |      279 |      2 |    68 |   -1.556 |      -21.2 |     30 | _1427_/D
      852 |       0 |     222 |      279 |      2 |    68 |   -1.556 |      -21.2 |     29 | _1427_/D
     853* |       0 |     222 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     855* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     856* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     857* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     858* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     859* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     860* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     860* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     861* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     862* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     863* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     864* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     865* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     866* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     867* |       0 |     223 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     869* |       0 |     224 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     870* |       0 |     224 |      279 |      2 |    68 |   -1.556 |      -21.2 |     32 | _1427_/D
     875* |       0 |     229 |      279 |      2 |    68 |   -1.556 |      -20.7 |     30 | _1427_/D
     880* |       0 |     233 |      279 |      2 |    68 |   -1.556 |      -20.2 |     30 | _1427_/D
     881* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     882* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     883* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     884* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     885* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     886* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     887* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     888* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     889* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     890* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     890* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     891* |       0 |     234 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     893* |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     894* |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     895* |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     896* |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
     897* |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
    final |       0 |     235 |      279 |      2 |    68 |   -1.556 |      -20.1 |     28 | _1427_/D
---------------------------------------------------------------------------------------------------
[INFO RSZ-0040] Inserted 74 buffers.
[INFO RSZ-0041] Resized 235 instances.
[INFO RSZ-0043] Swapped pins on 68 instances.
[INFO RSZ-0049] Cloned 2 instances.
[WARNING RSZ-0062] Unable to repair all setup violations.
[INFO RSZ-0046] Found 25 endpoints with hold violations.
Iteration | Resized | Buffers | Cloned Gates |   WNS   |   TNS   | Endpoint
---------------------------------------------------------------------------
        0 |       0 |       0 |            0 |   0.053 |   0.000 | _1425_/D
    final |       0 |      30 |            0 |   0.101 |   0.000 | _1385_/D
---------------------------------------------------------------------------
[INFO RSZ-0032] Inserted 30 hold buffers.
Placement Analysis
---------------------------------
total displacement       1053.1 u
average displacement        0.7 u
max displacement           13.8 u
original HPWL           20441.9 u
legalized HPWL          22112.3 u
delta HPWL                    8 %

[INFO DPL-0020] Mirrored 450 instances
[INFO DPL-0021] HPWL before           22112.3 u
[INFO DPL-0022] HPWL after            21167.7 u
[INFO DPL-0023] HPWL delta               -4.3 %
[INFO] Setting RC values…
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Fill cell                               106     397.88
  Tap cell                                302     377.86
  Clock buffer                             12     253.99
  Timing Repair Buffer                    238    1830.51
  Inverter                                 22     105.10
  Clock inverter                            4      50.05
  Sequential cell                          67    1355.05
  Multi-Input combinational cell          665    6742.72
  Total                                  1416   11113.16
Writing OpenROAD database to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/36-openroad-resizertimingpostcts/PE.odb'…
Writing netlist to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/36-openroad-resizertimingpostcts/PE.nl.v'…
Writing powered netlist to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/36-openroad-resizertimingpostcts/PE.pnl.v'…
Writing layout to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/36-openroad-resizertimingpostcts/PE.def'…
Writing timing constraints to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run1/36-openroad-resizertimingpostcts/PE.sdc'…
