Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/anils_0611/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/34-openroad-cts/PE.odb'…
Reading design constraints file at '/nix/store/9hhfv2x4r4x6v55799pa58jc2yni6awy-python3.11-openlane-2.3.10/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 0
[INFO] Setting input delay to: 0
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 34 endpoints with setup violations.
[INFO RSZ-0099] Repairing 34 out of 34 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
      468 |       0 |     189 |      197 |      3 |    49 |   -1.588 |      -45.2 |     34 | _1388_/D
      470 |       0 |     189 |      197 |      3 |    50 |   -1.588 |      -45.1 |     34 | _1388_/D
      470 |       0 |     189 |      197 |      3 |    50 |   -1.588 |      -45.1 |     34 | _1388_/D
      473 |       0 |     191 |      197 |      3 |    50 |   -1.588 |      -45.1 |     34 | _1388_/D
      480 |       0 |     193 |      197 |      3 |    54 |   -1.588 |      -45.3 |     34 | _1388_/D
      483 |       0 |     194 |      197 |      3 |    54 |   -1.588 |      -45.3 |     34 | _1388_/D
      489 |       0 |     197 |      197 |      3 |    56 |   -1.588 |      -45.2 |     34 | _1388_/D
      490 |       0 |     197 |      197 |      3 |    56 |   -1.588 |      -45.2 |     34 | _1388_/D
      494 |       0 |     200 |      197 |      3 |    57 |   -1.560 |      -45.0 |     34 | _1426_/D
      496 |       0 |     200 |      197 |      3 |    57 |   -1.560 |      -45.0 |     34 | _1426_/D
      498 |       0 |     200 |      197 |      3 |    57 |   -1.560 |      -45.0 |     34 | _1426_/D
      500 |       0 |     201 |      197 |      3 |    57 |   -1.562 |      -45.0 |     34 | _1397_/D
      502 |       0 |     200 |      197 |      3 |    57 |   -1.560 |      -45.0 |     34 | _1426_/D
      507 |       0 |     200 |      199 |      3 |    58 |   -1.560 |      -44.9 |     34 | _1426_/D
      510 |       0 |     200 |      203 |      3 |    58 |   -1.560 |      -45.1 |     34 | _1426_/D
      514 |       0 |     201 |      203 |      3 |    61 |   -1.560 |      -45.1 |     34 | _1426_/D
      518 |       0 |     203 |      203 |      3 |    62 |   -1.560 |      -45.1 |     34 | _1426_/D
      520 |       0 |     204 |      203 |      3 |    62 |   -1.560 |      -45.1 |     34 | _1426_/D
      524 |       0 |     205 |      204 |      3 |    62 |   -1.560 |      -45.1 |     34 | _1426_/D
      528 |       0 |     206 |      204 |      3 |    62 |   -1.560 |      -45.0 |     34 | _1426_/D
      530 |       0 |     206 |      204 |      3 |    63 |   -1.560 |      -45.0 |     34 | _1426_/D
      530 |       0 |     206 |      204 |      3 |    62 |   -1.560 |      -45.0 |     34 | _1426_/D
      537 |       0 |     211 |      204 |      3 |    63 |   -1.560 |      -44.8 |     34 | _1426_/D
      540 |       0 |     211 |      204 |      3 |    65 |   -1.560 |      -44.8 |     34 | _1426_/D
      540 |       0 |     211 |      204 |      3 |    64 |   -1.560 |      -44.8 |     34 | _1426_/D
      550 |       0 |     218 |      204 |      3 |    66 |   -1.560 |      -44.5 |     34 | _1426_/D
      560 |       0 |     226 |      204 |      3 |    68 |   -1.560 |      -44.5 |     34 | _1426_/D
      570 |       0 |     231 |      208 |      3 |    71 |   -1.560 |      -44.7 |     34 | _1426_/D
      580 |       0 |     238 |      208 |      3 |    74 |   -1.560 |      -44.4 |     34 | _1426_/D
      590 |       0 |     243 |      212 |      3 |    77 |   -1.560 |      -44.7 |     34 | _1426_/D
      600 |       0 |     249 |      216 |      3 |    79 |   -1.560 |      -44.5 |     34 | _1426_/D
      610 |       0 |     256 |      221 |      3 |    80 |   -1.560 |      -45.3 |     34 | _1426_/D
      620 |       0 |     259 |      232 |      3 |    82 |   -1.560 |      -45.6 |     34 | _1426_/D
      630 |       0 |     266 |      232 |      3 |    85 |   -1.560 |      -44.7 |     34 | _1426_/D
      630 |       0 |     241 |      219 |      3 |    74 |   -1.560 |      -44.4 |     34 | _1426_/D
      640 |       0 |     246 |      223 |      3 |    76 |   -1.560 |      -44.2 |     34 | _1426_/D
      650 |       0 |     253 |      232 |      3 |    76 |   -1.560 |      -44.3 |     34 | _1426_/D
      658 |       0 |     260 |      234 |      3 |    76 |   -1.560 |      -44.3 |     32 | _1426_/D
      660 |       0 |     261 |      234 |      3 |    76 |   -1.567 |      -44.5 |     32 | _1397_/D
      662 |       0 |     260 |      234 |      3 |    76 |   -1.560 |      -44.3 |     32 | _1426_/D
      664 |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     32 | _1426_/D
     665* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     666* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     667* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     668* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     669* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     670* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     670* |       0 |     260 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     672* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     673* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     674* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     675* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     676* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     677* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     678* |       0 |     261 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     680* |       0 |     262 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     680* |       0 |     262 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     681* |       0 |     262 |      234 |      3 |    77 |   -1.560 |      -44.3 |     37 | _1426_/D
     683* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     684* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     685* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     686* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     687* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     688* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     689* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     690* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     690* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     691* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     692* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     693* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     694* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     695* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     696* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     697* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     698* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     699* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     700* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     700* |       0 |     263 |      234 |      3 |    77 |   -1.560 |      -44.2 |     37 | _1426_/D
     702* |       0 |     264 |      234 |      3 |    77 |   -1.560 |      -43.9 |     37 | _1426_/D
     704* |       0 |     265 |      234 |      3 |    77 |   -1.560 |      -43.9 |     37 | _1426_/D
     705* |       0 |     265 |      234 |      3 |    77 |   -1.560 |      -43.9 |     36 | _1426_/D
     707* |       0 |     266 |      234 |      3 |    77 |   -1.560 |      -43.8 |     34 | _1426_/D
    final |       0 |     266 |      234 |      3 |    77 |   -1.560 |      -43.8 |     34 | _1426_/D
---------------------------------------------------------------------------------------------------
[INFO RSZ-0040] Inserted 101 buffers.
[INFO RSZ-0041] Resized 266 instances.
[INFO RSZ-0043] Swapped pins on 77 instances.
[INFO RSZ-0049] Cloned 3 instances.
[WARNING RSZ-0062] Unable to repair all setup violations.
[INFO RSZ-0046] Found 67 endpoints with hold violations.
Iteration | Resized | Buffers | Cloned Gates |   WNS   |   TNS   | Endpoint
---------------------------------------------------------------------------
        0 |       0 |       0 |            0 |  -0.431 |  -7.201 | _1380_/D
    final |       0 |      69 |            0 |   0.047 |  -0.000 | _1428_/D
---------------------------------------------------------------------------
[WARNING RSZ-0064] Unable to repair all hold checks within margin.
[INFO RSZ-0032] Inserted 69 hold buffers.
Placement Analysis
---------------------------------
total displacement       1671.8 u
average displacement        1.1 u
max displacement           12.4 u
original HPWL           21327.4 u
legalized HPWL          23464.0 u
delta HPWL                   10 %

[INFO DPL-0020] Mirrored 443 instances
[INFO DPL-0021] HPWL before           23464.0 u
[INFO DPL-0022] HPWL after            22493.7 u
[INFO DPL-0023] HPWL delta               -4.1 %
[INFO] Setting RC values…
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Fill cell                               106     397.88
  Tap cell                                302     377.86
  Clock buffer                             11     246.49
  Timing Repair Buffer                    305    2508.66
  Inverter                                 22     105.10
  Clock inverter                            4      51.30
  Sequential cell                          67    1355.05
  Multi-Input combinational cell          665    6964.18
  Total                                  1482   12006.52
Writing OpenROAD database to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/36-openroad-resizertimingpostcts/PE.odb'…
Writing netlist to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/36-openroad-resizertimingpostcts/PE.nl.v'…
Writing powered netlist to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/36-openroad-resizertimingpostcts/PE.pnl.v'…
Writing layout to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/36-openroad-resizertimingpostcts/PE.def'…
Writing timing constraints to '/home/anils_0611/vlsi_projects/pe_asic/pnr/config/runs/reg_run4/36-openroad-resizertimingpostcts/PE.sdc'…
